gender,age,time
MALE,29,09:32:56
MALE,29,09:36:50
MALE,24,09:37:20
MALE,36,11:49:04
MALE,29,15:04:37
MALE,26,15:05:07
MALE,30,15:05:38
MALE,25,15:06:08
MALE,30,15:06:38
MALE,42,15:07:08
MALE,20,15:07:39
MALE,29,15:08:09
MALE,27,15:08:39
