gender,age,time
M,(23-29),08:46:26
M,(13-18),08:46:29
M,(19- 22),08:46:33
M,(19- 22),08:46:36
M,(19- 22),08:46:40
M,(13-18),08:46:43
M,(19- 22),08:46:47
M,(23-29),08:46:50
M,(23-29),08:46:53
M,(19- 22),08:47:28
M,(23-29),08:47:31
M,(23-29),08:47:35
M,(23-29),08:47:38
M,(19- 22),08:47:41
M,(19- 22),08:48:31
M,(13-18),08:49:06
M,(23-29),08:49:46
M,(23-29),08:49:56
M,(13-18),08:49:59
M,(13-18),08:50:03
M,(19- 22),08:50:06
M,(13-18),08:50:09
M,(13-18),08:50:13
M,(13-18),09:27:24
M,(13-18),09:27:27
M,(19- 22),09:27:30
M,(19- 22),09:27:34
M,(30-34),13:03:27
M,(23-29),13:03:30
M,(13-18),13:03:34
M,(23-29),13:03:40
M,(23-29),13:18:58
M,(13-18),13:19:01
M,(19- 22),13:19:10
M,(23-29),13:19:14
M,(23-29),13:19:54
M,(30-34),13:19:58
M,(30-34),13:21:18
M,(13-18),13:21:21
M,(23-29),13:21:25
M,(19- 22),13:23:13
M,(19- 22),13:23:17
M,(23-29),13:23:20
M,(23-29),13:23:23
F,(19- 22),13:23:30
M,(19- 22),13:23:36
M,(19- 22),14:40:27
F,(30-34),14:40:30
M,(23-29),14:40:34
M,(23-29),14:40:34
M,(23-29),14:40:38
F,(23-29),14:40:38
M,(30-34),14:40:38
M,(23-29),14:40:41
M,(30-34),14:40:42
M,(23-29),14:40:45
F,(30-34),14:40:45
M,(19- 22),14:40:49
M,(30-34),14:40:49
M,(23-29),14:40:53
M,(23-29),14:40:53
M,(23-29),14:40:56
M,(23-29),14:40:59
M,(13-18),14:41:00
M,(13-18),14:41:03
M,(40-44),14:41:07
M,(19- 22),14:41:07
M,(1-12),14:41:07
M,(23-29),14:41:11
F,(30-34),14:41:11
M,(30-34),14:41:11
F,(23-29),14:41:15
M,(40-44),14:41:18
M,(30-34),14:41:18
M,(1-12),14:41:19
M,(23-29),14:41:22
F,(23-29),14:41:22
M,(23-29),14:41:26
F,(30-34),14:41:26
M,(23-29),14:41:30
M,(35-39),14:41:30
M,(23-29),14:41:33
F,(23-29),14:41:33
M,(30-34),14:41:37
F,(23-29),14:41:37
M,(23-29),14:41:41
F,(30-34),14:41:41
M,(23-29),14:41:44
M,(30-34),14:41:44
M,(40-44),14:41:45
M,(40-44),14:41:48
M,(40-44),14:41:48
M,(23-29),14:41:52
M,(35-39),14:41:52
M,(30-34),14:41:55
M,(35-39),14:41:59
M,(30-34),14:41:59
M,(23-29),14:42:02
F,(30-34),14:42:03
M,(30-34),14:42:06
M,(23-29),14:42:06
M,(23-29),14:42:10
M,(30-34),14:42:10
M,(23-29),14:42:14
M,(23-29),14:42:17
F,(35-39),14:42:17
M,(23-29),14:42:20
M,(19- 22),14:42:24
M,(30-34),14:42:27
M,(23-29),14:42:31
M,(23-29),14:42:34
M,(23-29),14:42:37
M,(23-29),14:42:41
M,(23-29),14:42:44
M,(19- 22),14:42:47
M,(23-29),14:42:51
M,(19- 22),14:42:54
M,(23-29),14:42:57
M,(19- 22),14:43:01
M,(23-29),14:43:07
M,(40-44),14:43:10
M,(23-29),14:43:14
M,(30-34),14:43:17
M,(40-44),14:43:20
M,(30-34),14:43:24
M,(30-34),14:43:27
M,(30-34),14:43:30
M,(23-29),14:43:34
M,(19- 22),14:43:37
M,(23-29),14:43:40
M,(23-29),14:43:44
M,(23-29),14:43:47
M,(23-29),14:43:50
M,(23-29),14:43:54
M,(23-29),14:43:57
M,(23-29),14:44:00
M,(23-29),14:44:03
M,(23-29),14:44:07
M,(30-34),14:44:13
M,(35-39),14:48:53
M,(35-39),14:49:02
M,(35-39),14:49:06
M,(35-39),14:49:09
M,(35-39),14:49:19
M,(45-50),14:49:22
M,(35-39),14:49:25
M,(51-59),14:49:29
M,(23-29),14:49:32
M,(23-29),15:02:42
M,(23-29),15:02:45
M,(30-34),15:02:49
M,(13-18),15:02:52
M,(13-18),15:02:59
F,(30-34),15:02:59
F,(30-34),15:03:02
F,(30-34),15:03:06
F,(19- 22),15:03:06
M,(19- 22),15:03:09
M,(19- 22),15:03:13
M,(23-29),15:03:19
F,(23-29),15:03:25
F,(30-34),15:03:32
F,(23-29),15:03:32
F,(23-29),15:03:35
F,(23-29),15:03:39
F,(23-29),15:03:42
F,(23-29),15:03:46
F,(23-29),15:03:49
F,(23-29),15:03:52
M,(23-29),15:03:59
